index,timestamp_us,duration_us,level
0,2042919,0,1
1,2043387,468,0
2,2043863,476,1
3,2044818,955,0
4,2045296,478,1
5,2046241,945,0
6,2046724,483,1
7,2047671,947,0
8,2048631,960,1
9,2049102,471,0
10,2050059,957,1
11,2050531,472,0
12,2051488,957,1
13,2051959,471,0
14,2052917,958,1
15,2053387,470,0
16,2053870,483,1
17,2054817,947,0
18,2055779,962,1
19,2056241,462,0
20,2057207,966,1
21,2057672,465,0
22,2058158,486,1
23,2059103,945,0
24,2060064,961,1
25,2060532,468,0
26,2061495,963,1
27,2061962,467,0
28,2062923,961,1
29,2063387,464,0
30,2063875,488,1
31,2064818,943,0
32,2065784,966,1
33,2066243,459,0
34,2067212,969,1
35,2067673,461,0
36,2068165,492,1
37,2069103,938,0
38,2069600,497,1
39,2070532,932,0
40,2071025,493,1
41,2071960,935,0
42,2072455,495,1
43,2073389,934,0
44,2074363,974,1
45,2074818,455,0
46,2075318,500,1
47,2076243,925,0
48,2077221,978,1
49,2077675,454,0
50,2078171,496,1
51,2079104,933,0
52,2080078,974,1
53,2080533,455,0
54,2081033,500,1
55,2081963,930,0
56,2082937,974,1
57,2083392,455,0
58,2094373,10981,1
59,2094826,453,0
60,2095325,499,1
61,2096251,926,0
62,2096754,503,1
63,2097681,927,0
64,2098183,502,1
65,2099110,927,0
66,2100086,976,1
67,2100539,453,0
68,2101517,978,1
69,2101971,454,0
70,2102945,974,1
71,2103399,454,0
72,2104377,978,1
73,2104830,453,0
74,2105330,500,1
75,2106255,925,0
76,2107236,981,1
77,2107685,449,0
78,2108668,983,1
79,2109113,445,0
80,2109624,511,1
81,2110541,917,0
82,2111527,986,1
83,2111973,446,0
84,2112953,980,1
85,2113400,447,0
86,2114387,987,1
87,2114831,444,0
88,2115341,510,1
89,2116257,916,0
90,2117247,990,1
91,2117687,440,0
92,2118674,987,1
93,2119114,440,0
94,2119630,516,1
95,2120543,913,0
96,2121055,512,1
97,2121975,920,0
98,2122486,511,1
99,2123404,918,0
100,2123915,511,1
101,2124834,919,0
102,2125823,989,1
103,2126260,437,0
104,2126773,513,1
105,2127689,916,0
